trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-110.74356843199536,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-20.85689092593645,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-48.8592740340427,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,11,-55.256224285893126,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-123.40859679621138,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-164.6192218585665,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-36.655111502962896,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,9,-44.68967798472012,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,8,-9.575662192123662,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,8,-11.264840094332483,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-36.102657502025494,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-52.623520059288694,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,8,-16.45533660081241,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-160.29278326239984,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
